Month Balance  Payment  Interest  Shortage
1     0.00    100.00      0.00   4900.00
2     100.00    100.00      0.10   4799.90
3     200.10    100.00      0.20   4699.70
4     300.30    100.00      0.30   4599.40
5     400.60    100.00      0.40   4499.00
6     501.00    100.00      0.50   4398.50
7     601.50    100.00      0.60   4297.90
8     702.10    100.00      0.70   4197.19
9     802.81    100.00      0.80   4096.39
10     903.61    100.00      0.90   3995.49
11     1004.51    100.00      1.00   3894.48
12     1105.52    100.00      1.11   3793.38
13     1206.62    100.00      1.21   3692.17
14     1307.83    100.00      1.31   3590.86
15     1409.14    100.00      1.41   3489.45
16     1510.55    100.00      1.51   3387.94
17     1612.06    100.00      1.61   3286.33
18     1713.67    100.00      1.71   3184.62
19     1815.38    100.00      1.82   3082.80
20     1917.20    100.00      1.92   2980.89
21     2019.11    100.00      2.02   2878.87
22     2121.13    100.00      2.12   2776.75
23     2223.25    100.00      2.22   2674.52
24     2325.48    100.00      2.33   2572.20
25     2427.80    100.00      2.43   2469.77
26     2530.23    100.00      2.53   2367.24
27     2632.76    100.00      2.63   2264.61
28     2735.39    100.00      2.74   2161.87
29     2838.13    100.00      2.84   2059.03
30     2940.97    100.00      2.94   1956.09
31     3043.91    100.00      3.04   1853.05
32     3146.95    100.00      3.15   1749.90
33     3250.10    100.00      3.25   1646.65
34     3353.35    100.00      3.35   1543.30
35     3456.70    100.00      3.46   1439.84
36     3560.16    100.00      3.56   1336.28
37     3663.72    100.00      3.66   1232.62
38     3767.38    100.00      3.77   1128.85
39     3871.15    100.00      3.87   1024.98
40     3975.02    100.00      3.98   921.00
41     4079.00    100.00      4.08   816.92
42     4183.08    100.00      4.18   712.74
43     4287.26    100.00      4.29   608.45
44     4391.55    100.00      4.39   504.06
45     4495.94    100.00      4.50   399.57
46     4600.43    100.00      4.60   294.97
47     4705.03    100.00      4.71   190.26
48     4809.74    100.00      4.81   85.45
49     4914.55    80.54      4.91   0.00
Total number of months needed: 49
Total amount of interest earned is $119.46
